camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,carplate
3797,https://images.data.gov.sg/api/traffic-images/2023/07/f6635397-b1b7-48b0-a95c-9baec62c13d0.jpg,1.29565733262976,103.885283049309,FRC4,8,8,45,24,0.99,False,17,4,1,0,1,0
3798,https://images.data.gov.sg/api/traffic-images/2023/07/b43b1318-e413-4469-b216-42f1189dd652.jpg,1.29158484,103.8615987,FRC3,74,74,151,151,1.0,False,3,0,0,0,0,0
4701,https://images.data.gov.sg/api/traffic-images/2023/07/5b6af8a5-8508-4847-a40e-cd53ef5dac09.jpg,1.2871,103.79633,FRC0,84,84,457,457,1.0,False,25,4,0,0,0,0
4702,https://images.data.gov.sg/api/traffic-images/2023/07/9befb113-e408-42b9-839d-9df05d99d05e.jpg,1.27237,103.8324,FRC0,85,85,468,468,1.0,False,12,1,1,0,0,0
4703,https://images.data.gov.sg/api/traffic-images/2023/07/0f8461af-c978-4c74-ad44-49338876d18c.jpg,1.348697862,103.6350413,FRC4,12,12,203,203,1.0,False,39,5,0,2,0,0
4704,https://images.data.gov.sg/api/traffic-images/2023/07/18c01239-542f-4a38-a339-c16e3e6e78ba.jpg,1.27877,103.82375,FRC0,84,84,457,457,1.0,False,2,0,0,0,1,0
4705,https://images.data.gov.sg/api/traffic-images/2023/07/5d8b06de-e2d5-4df8-b4d7-8b7b387ab438.jpg,1.32618,103.73028,FRC0,85,85,643,643,1.0,False,9,1,1,0,0,0
4706,https://images.data.gov.sg/api/traffic-images/2023/07/b9800b7d-4c63-447d-9ad4-82e56fcfd185.jpg,1.29792,103.78205,FRC0,77,77,946,868,0.9996,False,20,2,0,0,0,0
4707,https://images.data.gov.sg/api/traffic-images/2023/07/b27b88f9-5da6-44fe-96ef-fceeab8afe16.jpg,1.33344648135658,103.652700847056,FRC4,53,53,104,104,1.0,False,1,1,0,0,0,0
4708,https://images.data.gov.sg/api/traffic-images/2023/07/433b35ca-c129-46f1-9f65-a0a6fd9bd986.jpg,1.29939,103.7799,FRC0,85,85,643,643,1.0,False,20,5,2,0,0,0
4709,https://images.data.gov.sg/api/traffic-images/2023/07/474308bd-db1f-43cc-a6f6-8be7aa8f3df4.jpg,1.312019,103.763002,FRC0,85,85,643,643,1.0,False,18,2,0,1,0,0
4710,https://images.data.gov.sg/api/traffic-images/2023/07/80a01ad7-6b96-4f7c-aee8-36a1c15aadfc.jpg,1.32153,103.75273,FRC0,77,77,946,868,0.9996,False,12,2,0,1,0,0
