camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,tomtom_congestion,my_congestion,congestion
4707,https://images.data.gov.sg/api/traffic-images/2023/07/ae147413-203b-4648-b699-07d8f360cb9f.jpg,1.33344648135658,103.652700847056,FRC4,39,39,141,106,0.960864,False,11,1,0,0,0,3,2,3
4708,https://images.data.gov.sg/api/traffic-images/2023/07/b30b8067-9912-49b5-a59e-57d1db097c3d.jpg,1.29939,103.7799,FRC0,66,66,828,643,1.0,False,18,0,0,0,0,2,3,3
4709,https://images.data.gov.sg/api/traffic-images/2023/07/de674b87-767a-4d19-aebe-1a5b300294f5.jpg,1.312019,103.763002,FRC0,66,66,828,643,1.0,False,15,0,0,0,0,2,2,2
4710,https://images.data.gov.sg/api/traffic-images/2023/07/dce80cb4-2402-433f-8254-9034f79ce8fd.jpg,1.32153,103.75273,FRC0,70,70,1041,868,0.999908,False,21,0,0,0,0,2,3,3
4712,https://images.data.gov.sg/api/traffic-images/2023/07/d4eb9663-5367-4763-94b6-cba707be7dd7.jpg,1.341244001,103.6439134,FRC4,36,36,176,121,0.977874,False,2,0,0,0,0,3,1,2
4713,https://images.data.gov.sg/api/traffic-images/2023/07/f6c20131-5afa-44bf-b50a-5be4388cad40.jpg,1.347645829,103.6366955,FRC4,12,12,203,203,1.0,False,43,0,0,0,0,1,3,2
4714,https://images.data.gov.sg/api/traffic-images/2023/07/bdef87ef-08b9-44a9-95bc-39256038b47c.jpg,1.31023,103.76438,FRC0,70,70,1041,868,0.999908,False,16,0,0,0,0,2,3,3
4716,https://images.data.gov.sg/api/traffic-images/2023/07/49390360-6ba3-4ee6-831b-0ded2cf2a67e.jpg,1.32227,103.67453,FRC0,70,70,1041,868,0.999908,False,2,0,0,0,0,2,1,2
4798,https://images.data.gov.sg/api/traffic-images/2023/07/f8dcc40e-f6fc-4a76-be21-d02f16698bea.jpg,1.25999999687243,103.823611110166,FRC3,75,75,335,335,1.0,False,4,0,0,0,0,1,1,1
4799,https://images.data.gov.sg/api/traffic-images/2023/07/7b526d20-8801-4b6d-bfd9-f35632087da7.jpg,1.26027777363278,103.823888890049,FRC4,34,34,309,219,1.0,False,8,0,0,0,0,3,1,2
5794,https://images.data.gov.sg/api/traffic-images/2023/07/c7b86252-171d-4175-b6bd-9bf2f6902564.jpg,1.3309693,103.9168616,FRC0,88,88,310,310,1.0,False,16,0,0,0,0,1,3,2
5795,https://images.data.gov.sg/api/traffic-images/2023/07/45f51516-960a-4180-9fc1-425ecaf9dac7.jpg,1.326024822,103.905625,FRC0,69,69,35,27,1.0,False,33,0,0,0,0,2,3,3
